morpheme_nl,morpheme_en,concept,compositional_concept,pos,semantic_gender,syntactic_gender_nl,type,tense,aspect,number,inactive,is_cognate,is_false_friend,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17
klemmen,jam,JAM,JAM,verb,,,locative-alt,,,,,,,,,,
wrijven,rub,RUB,RUB,verb,,,locative-alt,,,,,,,,,,
begieten,shower,SHOWER,SHOWER,verb,,,locative-alt,,,,,,,,,,
volproppen,pack,PACK,PACK,verb,,,locative-alt,,,,,,,,,,
laten_schrikken,scare,SCARE,SCARE,verb,,,theme-exp,,,,,,,,,,
verrassen,surprise,SURPRISE,SURPRISE,verb,,,theme-exp,,,,,,,,,,
lastig_vallen,bother,BOTHER,BOTHER,verb,,,theme-exp,,,,,,,,,,
pijn_doen,hurt,HURT,HURT,verb,,,theme-exp,,,,,,,,,,
gaan,go,GO,GO,verb,,,locative,,,,,,,,,,
lopen,walk,WALK,WALK,verb,,,locative,,,,,,,,,,
rennen,run,RUN,RUN,verb,,,locative,,,,,,,,,,
springen,jump,JUMP,JUMP,verb,,,locative,,,,,,,,,,
kruipen,crawl,CRAWL,CRAWL,verb,,,locative,,,,,,,,,,
stuiteren,bounce,BOUNCE,BOUNCE,verb,,,locative,,,,,,,,,,
